rep_a,rep_b,n_shared_points,spearman_rho,p_value,excluded_from_anova
smiles,sns,56,0.995967190704033,3.0972338116860863e-58,yes
ecfp4,smiles,78,0.9947394377774125,5.717854653557861e-77,no
ecfp4,sns,56,0.994736842105263,4.04116369111509e-55,yes
continuous_pdv,smiles,72,0.9932471541578239,3.14325808385427e-67,no
morgan,randomized_smiles,24,0.9930434782608695,6.159862590432449e-22,yes
mhggnn,smiles,54,0.9929864684581664,6.702888759195273e-50,no
randomized_smiles,sns,28,0.9928845101258894,1.462470454715199e-25,yes
continuous_pdv,ecfp4,72,0.9921216798507942,6.798467428372807e-65,no
randomized_smiles,smiles,28,0.9917898193760263,9.340114745251096e-25,yes
mhggnn,sns,44,0.9906976744186046,5.142059915406312e-38,yes
continuous_pdv,randomized_smiles,24,0.9904347826086956,2.0215736631133716e-20,yes
mhggnn,morgan,48,0.9902301346070344,5.182017164596683e-41,yes
ecfp4,mhggnn,54,0.9890985324947588,6.110907680629313e-45,no
mhggnn,randomized_smiles,28,0.9885057471264367,7.278400821613469e-23,yes
continuous_pdv,sns,50,0.9872268907563025,5.935710459842866e-40,yes
continuous_pdv,mhggnn,48,0.9867564046895355,5.460204926974068e-38,no
ecfp4,randomized_smiles,28,0.9857690202517788,1.1512754935373223e-21,yes
continuous_pdv,pdv,72,0.9852080519647568,2.2815437794102987e-55,yes
pdv,smiles,78,0.9787048394643331,5.085830435970527e-54,yes
ecfp4,pdv,78,0.9781231426801047,1.4012431106594728e-53,yes
morgan,sns,52,0.9774609408349697,1.9314700769933506e-35,yes
mhggnn,pdv,54,0.9766723842195539,2.044772383012117e-36,yes
morgan,smiles,60,0.9759933314809671,4.32465380556221e-40,yes
ecfp4,morgan,60,0.9751597666018339,1.1504954755582338e-39,yes
pdv,sns,56,0.9736842105263159,2.307972151792563e-36,yes
continuous_pdv,morgan,54,0.9688202782542403,3.508479122916151e-33,yes
mol2vec,morgan,48,0.9677594442032131,3.4390370798152175e-29,yes
pdv,randomized_smiles,28,0.9644225506294472,1.5211749176411508e-16,yes
mhggnn,mol2vec,54,0.9624166190203924,4.171697815486765e-31,no
ecfp4,mol2vec,54,0.9622641509433961,4.626119630361686e-31,no
morgan,pdv,60,0.9617671575437624,2.5830724751378157e-34,yes
continuous_pdv,mol2vec,48,0.9586409031697786,9.590602951342871e-27,no
mol2vec,smiles,54,0.9554793215170572,3.133686863905721e-29,no
mol2vec,pdv,54,0.955021917286068,4.064732126232301e-29,yes
mol2vec,randomized_smiles,28,0.9485495347564312,1.6819598920830406e-14,yes
mol2vec,sns,44,0.9431994362226919,1.0284447994426036e-21,yes
