k,arm,rep,model,dose,r2,base,ret
0.25,A Gaussian,0,RF,0.24838681210960575,0.9216004473198564,0.9282089461436186,0.9928803758558693
0.25,A Gaussian,0,LGBM,0.24838681210960575,0.9263509229833292,0.9379852864169321,0.9875964329056315
0.25,A Gaussian,0,Ridge,0.24838681210960575,0.8829694138426701,0.884274571945325,0.9985240352441849
0.25,A Gaussian,1,RF,0.25016291367789173,0.9198994321090468,0.9282089461436186,0.9910477979456082
0.25,A Gaussian,1,LGBM,0.25016291367789173,0.9265333651800922,0.9379852864169321,0.9877909372325169
0.25,A Gaussian,1,Ridge,0.25016291367789173,0.8771096412932604,0.884274571945325,0.9918973915123417
0.25,A Gaussian,2,RF,0.2468464153795251,0.9210542498330222,0.9282089461436186,0.9922919334700213
0.25,A Gaussian,2,LGBM,0.2468464153795251,0.9305472791850273,0.9379852864169321,0.9920702303760887
0.25,A Gaussian,2,Ridge,0.2468464153795251,0.8846177116377371,0.884274571945325,1.000388046544929
0.25,B Student-t nu=10,0,RF,0.25105547452006954,0.9222465214630869,0.9282089461436186,0.9935764197217626
0.25,B Student-t nu=10,0,LGBM,0.25105547452006954,0.9264011561317902,0.9379852864169321,0.9876499872088689
0.25,B Student-t nu=10,0,Ridge,0.25105547452006954,0.8815494051260415,0.884274571945325,0.9969181893206672
0.25,B Student-t nu=10,1,RF,0.2495629474461007,0.9228004771334012,0.9282089461436186,0.9941732203372013
0.25,B Student-t nu=10,1,LGBM,0.2495629474461007,0.9281915871233847,0.9379852864169321,0.9895587921949618
0.25,B Student-t nu=10,1,Ridge,0.2495629474461007,0.8836674993578998,0.884274571945325,0.9993134795382732
0.25,B Student-t nu=10,2,RF,0.2478150875361543,0.918028338871891,0.9282089461436186,0.9890319875562238
0.25,B Student-t nu=10,2,LGBM,0.2478150875361543,0.9248938077719081,0.9379852864169321,0.9860429808072652
0.25,B Student-t nu=10,2,Ridge,0.2478150875361543,0.8782634575995741,0.884274571945325,0.9932022082999323
0.25,B Student-t nu=5,0,RF,0.24852344354438202,0.9250533198059627,0.9282089461436186,0.9966003060509528
0.25,B Student-t nu=5,0,LGBM,0.24852344354438202,0.9290384160211655,0.9379852864169321,0.9904616090195366
0.25,B Student-t nu=5,0,Ridge,0.24852344354438202,0.8863433229006802,0.884274571945325,1.0023394893633593
0.25,B Student-t nu=5,1,RF,0.24799030408270586,0.9207571899195652,0.9282089461436186,0.9919718978630697
0.25,B Student-t nu=5,1,LGBM,0.24799030408270586,0.9236134633819872,0.9379852864169321,0.9846779866986564
0.25,B Student-t nu=5,1,Ridge,0.24799030408270586,0.8827220321524142,0.884274571945325,0.9982442785960752
0.25,B Student-t nu=5,2,RF,0.24910597880463706,0.9200680762071545,0.9282089461436186,0.9912294855912707
0.25,B Student-t nu=5,2,LGBM,0.24910597880463706,0.9260069485916288,0.9379852864169321,0.9872297167143632
0.25,B Student-t nu=5,2,Ridge,0.24910597880463706,0.8850654665299059,0.884274571945325,1.0008943993298836
