dataset,representation,target,replicate,level,condition,family,model,n_train,n_test,label_sd,target_dose,realised_dose,dose_used,dose_mode,unit_dose_g,affected_molecule_fraction,n_noise_groups,largest_group_share,noise_seed,r2,r2_clean
QM9,PDV,homo_lumo_gap,0,0.5,Gaussian,reference,DNN,3199,801,1.3251350930417456,0.5,0.4950962218339133,0.4950962218339133,algebraic,1.0,0.0,1305,0.08002500781494216,60005,0.8661635369556269,0.9153571861148906
QM9,PDV,homo_lumo_gap,0,0.5,Grouped shifted,structure-keyed,DNN,3199,801,1.3251350930417456,0.5,0.5664926096867223,0.5664926096867223,algebraic,1.0,1.0,1305,0.08002500781494216,60005,0.7475670436021199,0.9153571861148906
QM9,PDV,homo_lumo_gap,0,1.0,Gaussian,reference,DNN,3199,801,1.3251350930417456,1.0,1.011956199391355,1.011956199391355,algebraic,1.0,0.0,1305,0.08002500781494216,60010,0.803866273740536,0.9153571861148906
QM9,PDV,homo_lumo_gap,0,1.0,Grouped shifted,structure-keyed,DNN,3199,801,1.3251350930417456,1.0,0.9895367864683816,0.9895367864683816,algebraic,1.0,1.0,1305,0.08002500781494216,60010,0.5852669417524644,0.9153571861148906
QM9,PDV,homo_lumo_gap,0,1.5,Gaussian,reference,DNN,3199,801,1.3251350930417456,1.5,1.4838552495257629,1.4838552495257629,algebraic,1.0,0.0,1305,0.08002500781494216,60015,0.7751679045995687,0.9153571861148906
QM9,PDV,homo_lumo_gap,0,1.5,Grouped shifted,structure-keyed,DNN,3199,801,1.3251350930417456,1.5,1.5717248229010399,1.5717248229010399,algebraic,1.0,1.0,1305,0.08002500781494216,60015,0.4761167868156775,0.9153571861148906
QM9,PDV,homo_lumo_gap,1,0.5,Gaussian,reference,DNN,3196,804,1.2841922113560549,0.5,0.5022211276693679,0.5022211276693679,algebraic,1.0,0.0,1257,0.08322903629536921,60105,0.8923128646047744,0.9220392204724027
QM9,PDV,homo_lumo_gap,1,0.5,Grouped shifted,structure-keyed,DNN,3196,804,1.2841922113560549,0.5,0.5237394567028337,0.5237394567028337,algebraic,1.0,1.0,1257,0.08322903629536921,60105,0.8271212529925978,0.9220392204724027
QM9,PDV,homo_lumo_gap,1,1.0,Gaussian,reference,DNN,3196,804,1.2841922113560549,1.0,1.0279253636835735,1.0279253636835735,algebraic,1.0,0.0,1257,0.08322903629536921,60110,0.8264132034555011,0.9220392204724027
QM9,PDV,homo_lumo_gap,1,1.0,Grouped shifted,structure-keyed,DNN,3196,804,1.2841922113560549,1.0,1.0564570757557938,1.0564570757557938,algebraic,1.0,1.0,1257,0.08322903629536921,60110,0.7021769730443628,0.9220392204724027
QM9,PDV,homo_lumo_gap,1,1.5,Gaussian,reference,DNN,3196,804,1.2841922113560549,1.5,1.5048449627922718,1.5048449627922718,algebraic,1.0,0.0,1257,0.08322903629536921,60115,0.7949127328440895,0.9220392204724027
QM9,PDV,homo_lumo_gap,1,1.5,Grouped shifted,structure-keyed,DNN,3196,804,1.2841922113560549,1.5,1.599774609603136,1.599774609603136,algebraic,1.0,1.0,1257,0.08322903629536921,60115,0.18728785224848965,0.9220392204724027
QM9,PDV,homo_lumo_gap,2,0.5,Gaussian,reference,DNN,3200,800,1.3195234870175732,0.5,0.4881262133212197,0.4881262133212197,algebraic,1.0,0.0,1285,0.08375,60205,-8.4754032474375,0.24343562172870736
QM9,PDV,homo_lumo_gap,2,0.5,Grouped shifted,structure-keyed,DNN,3200,800,1.3195234870175732,0.5,0.519227361661287,0.519227361661287,algebraic,1.0,1.0,1285,0.08375,60205,0.7454669166384001,0.24343562172870736
QM9,PDV,homo_lumo_gap,2,1.0,Gaussian,reference,DNN,3200,800,1.3195234870175732,1.0,0.9937977712813926,0.9937977712813926,algebraic,1.0,0.0,1285,0.08375,60210,-23.217318669969735,0.24343562172870736
QM9,PDV,homo_lumo_gap,2,1.0,Grouped shifted,structure-keyed,DNN,3200,800,1.3195234870175732,1.0,0.9679294245110469,0.9679294245110469,algebraic,1.0,1.0,1285,0.08375,60210,-176.6019163861648,0.24343562172870736
QM9,PDV,homo_lumo_gap,2,1.5,Gaussian,reference,DNN,3200,800,1.3195234870175732,1.5,1.521833166704101,1.521833166704101,algebraic,1.0,0.0,1285,0.08375,60215,-0.06573772788654653,0.24343562172870736
QM9,PDV,homo_lumo_gap,2,1.5,Grouped shifted,structure-keyed,DNN,3200,800,1.3195234870175732,1.5,1.479698567566572,1.479698567566572,algebraic,1.0,1.0,1285,0.08375,60215,-0.18478000268918993,0.24343562172870736
QM9,PDV,homo_lumo_gap,3,0.5,Gaussian,reference,DNN,3200,800,1.2861454093472788,0.5,0.4872558433247672,0.4872558433247672,algebraic,1.0,0.0,1212,0.0865625,60305,0.8360299794683428,0.8775654185928226
QM9,PDV,homo_lumo_gap,3,0.5,Grouped shifted,structure-keyed,DNN,3200,800,1.2861454093472788,0.5,0.4799009314648164,0.4799009314648164,algebraic,1.0,1.0,1212,0.0865625,60305,0.833435641476044,0.8775654185928226
QM9,PDV,homo_lumo_gap,3,1.0,Gaussian,reference,DNN,3200,800,1.2861454093472788,1.0,1.0053249315554973,1.0053249315554973,algebraic,1.0,0.0,1212,0.0865625,60310,0.718619193394828,0.8775654185928226
QM9,PDV,homo_lumo_gap,3,1.0,Grouped shifted,structure-keyed,DNN,3200,800,1.2861454093472788,1.0,1.0640925501828922,1.0640925501828922,algebraic,1.0,1.0,1212,0.0865625,60310,0.668407505565971,0.8775654185928226
QM9,PDV,homo_lumo_gap,3,1.5,Gaussian,reference,DNN,3200,800,1.2861454093472788,1.5,1.4799245418165474,1.4799245418165474,algebraic,1.0,0.0,1212,0.0865625,60315,0.6532273869918117,0.8775654185928226
QM9,PDV,homo_lumo_gap,3,1.5,Grouped shifted,structure-keyed,DNN,3200,800,1.2861454093472788,1.5,1.4631224596518948,1.4631224596518948,algebraic,1.0,1.0,1212,0.0865625,60315,0.25996385968640956,0.8775654185928226
QM9,PDV,homo_lumo_gap,4,0.5,Gaussian,reference,DNN,3199,801,1.3140756102057574,0.5,0.5022318925135888,0.5022318925135888,algebraic,1.0,0.0,1508,0.0315723663644889,60405,0.8756570746021611,0.9201965206199485
QM9,PDV,homo_lumo_gap,4,0.5,Grouped shifted,structure-keyed,DNN,3199,801,1.3140756102057574,0.5,0.4882889502225018,0.4882889502225018,algebraic,1.0,1.0,1508,0.0315723663644889,60405,0.8880273513296975,0.9201965206199485
QM9,PDV,homo_lumo_gap,4,1.0,Gaussian,reference,DNN,3199,801,1.3140756102057574,1.0,0.9978893586710067,0.9978893586710067,algebraic,1.0,0.0,1508,0.0315723663644889,60410,0.8210276868724274,0.9201965206199485
QM9,PDV,homo_lumo_gap,4,1.0,Grouped shifted,structure-keyed,DNN,3199,801,1.3140756102057574,1.0,1.0167599935765885,1.0167599935765885,algebraic,1.0,1.0,1508,0.0315723663644889,60410,0.6824640661819615,0.9201965206199485
QM9,PDV,homo_lumo_gap,4,1.5,Gaussian,reference,DNN,3199,801,1.3140756102057574,1.5,1.5302342323919613,1.5302342323919613,algebraic,1.0,0.0,1508,0.0315723663644889,60415,0.8085174311545307,0.9201965206199485
