model,from_rep,applied_to,noise_seed,r2,seconds,status,detail
dnn_bnn_full,pdv,pdv,0,0.23787744085887996,75.9,ok,"{""hidden_size1"": 512, ""hidden_size2"": 32, ""activation"": ""tanh""}"
dnn_bnn_full,ecfp4,pdv,0,-0.06970165873829748,26.5,ok,"{""hidden_size1"": 128, ""hidden_size2"": 64, ""activation"": ""relu""}"
dnn_bnn_full,avalon,pdv,0,0.4657215410151152,36.2,ok,"{""hidden_size1"": 64, ""hidden_size2"": 32, ""activation"": ""tanh""}"
dnn_bnn_full,mhggnn,pdv,0,-0.3567338620740115,84.5,ok,"{""hidden_size1"": 1024, ""hidden_size2"": 64, ""activation"": ""tanh""}"
dnn_bnn_full,sns,pdv,0,-0.2705664902167024,22.7,ok,"{""hidden_size1"": 128, ""hidden_size2"": 64, ""activation"": ""tanh""}"
dnn_bnn_full,DEFAULT,pdv,0,-0.9139674619639278,9.3,ok,{}
dnn_bnn_full,pdv,pdv,1,-0.014200354136909121,54.0,ok,"{""hidden_size1"": 512, ""hidden_size2"": 32, ""activation"": ""tanh""}"
dnn_bnn_full,ecfp4,pdv,1,0.46374969020672696,27.7,ok,"{""hidden_size1"": 128, ""hidden_size2"": 64, ""activation"": ""relu""}"
dnn_bnn_full,avalon,pdv,1,0.2027963141058453,18.1,ok,"{""hidden_size1"": 64, ""hidden_size2"": 32, ""activation"": ""tanh""}"
dnn_bnn_full,mhggnn,pdv,1,-0.07718517335149055,63.8,ok,"{""hidden_size1"": 1024, ""hidden_size2"": 64, ""activation"": ""tanh""}"
dnn_bnn_full,sns,pdv,1,-1.096638162097384,11.8,ok,"{""hidden_size1"": 128, ""hidden_size2"": 64, ""activation"": ""tanh""}"
dnn_bnn_full,DEFAULT,pdv,1,-0.5899587731619096,12.5,ok,{}
dnn_bnn_full,pdv,pdv,2,0.04057452239402415,59.8,ok,"{""hidden_size1"": 512, ""hidden_size2"": 32, ""activation"": ""tanh""}"
dnn_bnn_full,ecfp4,pdv,2,-0.9755323563576215,10.8,ok,"{""hidden_size1"": 128, ""hidden_size2"": 64, ""activation"": ""relu""}"
dnn_bnn_full,avalon,pdv,2,0.40002037486790365,33.2,ok,"{""hidden_size1"": 64, ""hidden_size2"": 32, ""activation"": ""tanh""}"
dnn_bnn_full,mhggnn,pdv,2,-0.7940805473917685,44.6,ok,"{""hidden_size1"": 1024, ""hidden_size2"": 64, ""activation"": ""tanh""}"
dnn_bnn_full,sns,pdv,2,0.12301283402570151,24.9,ok,"{""hidden_size1"": 128, ""hidden_size2"": 64, ""activation"": ""tanh""}"
dnn_bnn_full,DEFAULT,pdv,2,-0.5799422559422345,20.6,ok,{}
dnn_bnn_full,pdv,chemberta,0,0.6842699382022508,83.2,ok,"{""hidden_size1"": 512, ""hidden_size2"": 32, ""activation"": ""tanh""}"
