dataset,level,model,from_rep,applied_to,noise_seed,r2,seconds,status,detail
caco2,0.0,dnn_bnn_full,chemberta,pdv,0,-0.5213007155665834,65.2,ok,"{""hidden_size1"": 128, ""hidden_size2"": 512, ""activation"": ""relu""}"
caco2,0.0,dnn_bnn_full,avalon,pdv,0,-0.049028880926529794,36.7,ok,"{""hidden_size1"": 64, ""hidden_size2"": 128, ""activation"": ""relu""}"
caco2,0.0,dnn_bnn_full,chemberta,pdv,0,-0.08655965691892531,77.2,ok,"{""hidden_size1"": 128, ""hidden_size2"": 512, ""activation"": ""relu""}"
caco2,0.0,dnn_bnn_full,ecfp4,pdv,0,-0.06519888398370854,34.3,ok,"{""hidden_size1"": 128, ""hidden_size2"": 64, ""activation"": ""relu""}"
caco2,0.0,dnn_bnn_full,mhggnn,pdv,0,0.20278106479999347,30.9,ok,"{""hidden_size1"": 64, ""hidden_size2"": 32, ""activation"": ""relu""}"
caco2,0.0,dnn_bnn_full,pdv,pdv,0,-0.16680759698925574,31.2,ok,"{""hidden_size1"": 256, ""hidden_size2"": 32, ""activation"": ""relu""}"
caco2,0.0,dnn_bnn_full,sns,pdv,0,0.1553987974698574,26.3,ok,"{""hidden_size1"": 64, ""hidden_size2"": 32, ""activation"": ""tanh""}"
caco2,0.0,dnn_bnn_full,DEFAULT,pdv,0,0.30220277213772584,35.9,ok,{}
caco2,0.0,dnn_bnn_full,avalon,chemberta,0,0.013017440320236995,48.9,ok,"{""hidden_size1"": 64, ""hidden_size2"": 128, ""activation"": ""relu""}"
caco2,0.0,dnn_bnn_full,chemberta,chemberta,0,-3.1926634523231527,36.9,ok,"{""hidden_size1"": 128, ""hidden_size2"": 512, ""activation"": ""relu""}"
caco2,0.0,dnn_bnn_full,ecfp4,chemberta,0,-0.1674081183277618,25.9,ok,"{""hidden_size1"": 128, ""hidden_size2"": 64, ""activation"": ""relu""}"
caco2,0.0,dnn_bnn_full,mhggnn,chemberta,0,-0.30596892428651845,40.6,ok,"{""hidden_size1"": 64, ""hidden_size2"": 32, ""activation"": ""relu""}"
caco2,0.0,dnn_bnn_full,pdv,chemberta,0,-0.0909688784096514,58.9,ok,"{""hidden_size1"": 256, ""hidden_size2"": 32, ""activation"": ""relu""}"
caco2,0.0,dnn_bnn_full,sns,chemberta,0,0.09982542754199297,18.9,ok,"{""hidden_size1"": 64, ""hidden_size2"": 32, ""activation"": ""tanh""}"
caco2,0.0,dnn_bnn_full,DEFAULT,chemberta,0,-0.028017226896614567,72.9,ok,{}
caco2,0.0,dnn_bnn_full,avalon,ecfp4,0,0.2477990987502411,137.7,ok,"{""hidden_size1"": 64, ""hidden_size2"": 128, ""activation"": ""relu""}"
caco2,0.0,dnn_bnn_full,chemberta,ecfp4,0,0.0693410785453038,315.3,ok,"{""hidden_size1"": 128, ""hidden_size2"": 512, ""activation"": ""relu""}"
caco2,0.0,dnn_bnn_full,ecfp4,ecfp4,0,0.2566325098405222,164.8,ok,"{""hidden_size1"": 128, ""hidden_size2"": 64, ""activation"": ""relu""}"
