dataset,level,model,from_rep,applied_to,noise_seed,r2,seconds,status,detail
herg,0.0,dnn_bnn_full,avalon,pdv,0,-7.486374086356081,30.2,ok,"{""hidden_size1"": 512, ""hidden_size2"": 256, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,chemberta,pdv,0,-1.8332174061681097,14.2,ok,"{""hidden_size1"": 64, ""hidden_size2"": 256, ""activation"": ""relu""}"
herg,0.0,dnn_bnn_full,ecfp4,pdv,0,-2.081778771198443,17.4,ok,"{""hidden_size1"": 64, ""hidden_size2"": 32, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,mhggnn,pdv,0,-1.372953413356893,13.7,ok,"{""hidden_size1"": 64, ""hidden_size2"": 64, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,pdv,pdv,0,-2.853738878984856,27.9,ok,"{""hidden_size1"": 512, ""hidden_size2"": 32, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,sns,pdv,0,-1.1104454148129155,44.5,ok,"{""hidden_size1"": 512, ""hidden_size2"": 128, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,DEFAULT,pdv,0,-3.3526159958473727,8.9,ok,{}
herg,0.0,dnn_bnn_full,avalon,chemberta,0,-4.005697134064726,57.3,ok,"{""hidden_size1"": 512, ""hidden_size2"": 256, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,chemberta,chemberta,0,-1.7902048985049612,32.2,ok,"{""hidden_size1"": 64, ""hidden_size2"": 256, ""activation"": ""relu""}"
herg,0.0,dnn_bnn_full,ecfp4,chemberta,0,0.25846821713438817,83.3,ok,"{""hidden_size1"": 64, ""hidden_size2"": 32, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,mhggnn,chemberta,0,-0.514225062273828,63.7,ok,"{""hidden_size1"": 64, ""hidden_size2"": 64, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,pdv,chemberta,0,-1.9526764114685955,106.3,ok,"{""hidden_size1"": 512, ""hidden_size2"": 32, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,sns,chemberta,0,-0.45960585066788595,199.8,ok,"{""hidden_size1"": 512, ""hidden_size2"": 128, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,DEFAULT,chemberta,0,-1.2166823653376042,22.1,ok,{}
herg,0.0,dnn_bnn_full,avalon,ecfp4,0,-3.948159930942168,171.5,ok,"{""hidden_size1"": 512, ""hidden_size2"": 256, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,chemberta,ecfp4,0,-0.21475777067641277,37.3,ok,"{""hidden_size1"": 64, ""hidden_size2"": 256, ""activation"": ""relu""}"
herg,0.0,dnn_bnn_full,ecfp4,ecfp4,0,0.22805912706382803,96.8,ok,"{""hidden_size1"": 64, ""hidden_size2"": 32, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,mhggnn,ecfp4,0,0.09126714413772408,48.4,ok,"{""hidden_size1"": 64, ""hidden_size2"": 64, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,pdv,ecfp4,0,0.1601927838861016,522.5,ok,"{""hidden_size1"": 512, ""hidden_size2"": 32, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,sns,ecfp4,0,-0.2416754232363092,252.9,ok,"{""hidden_size1"": 512, ""hidden_size2"": 128, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,DEFAULT,ecfp4,0,-0.7548621819363828,29.7,ok,{}
herg,0.0,dnn_bnn_full,avalon,avalon,0,-0.8472132533105743,87.9,ok,"{""hidden_size1"": 512, ""hidden_size2"": 256, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,chemberta,avalon,0,-0.5523656737462903,89.9,ok,"{""hidden_size1"": 64, ""hidden_size2"": 256, ""activation"": ""relu""}"
herg,0.0,dnn_bnn_full,ecfp4,avalon,0,0.009133437537512168,76.1,ok,"{""hidden_size1"": 64, ""hidden_size2"": 32, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,mhggnn,avalon,0,-1.5133627422330704,32.7,ok,"{""hidden_size1"": 64, ""hidden_size2"": 64, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,pdv,avalon,0,-0.01776223717798131,87.4,ok,"{""hidden_size1"": 512, ""hidden_size2"": 32, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,sns,avalon,0,-0.27984147336162435,218.7,ok,"{""hidden_size1"": 512, ""hidden_size2"": 128, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,DEFAULT,avalon,0,-0.5820797424320701,28.5,ok,{}
herg,0.0,dnn_bnn_full,avalon,mhggnn,0,-2.5998160035582267,124.4,ok,"{""hidden_size1"": 512, ""hidden_size2"": 256, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,chemberta,mhggnn,0,-10.167664332989242,11.4,ok,"{""hidden_size1"": 64, ""hidden_size2"": 256, ""activation"": ""relu""}"
herg,0.0,dnn_bnn_full,ecfp4,mhggnn,0,-0.1917966172592931,54.3,ok,"{""hidden_size1"": 64, ""hidden_size2"": 32, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,mhggnn,mhggnn,0,-0.7898512376511,32.0,ok,"{""hidden_size1"": 64, ""hidden_size2"": 64, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,pdv,mhggnn,0,-0.5135597822018059,127.1,ok,"{""hidden_size1"": 512, ""hidden_size2"": 32, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,sns,mhggnn,0,-1.2213754338502358,155.1,ok,"{""hidden_size1"": 512, ""hidden_size2"": 128, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,DEFAULT,mhggnn,0,-4.9205045294597385,12.1,ok,{}
herg,0.0,dnn_bnn_full,avalon,sns,0,-4.092543335158635,71.9,ok,"{""hidden_size1"": 512, ""hidden_size2"": 256, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,chemberta,sns,0,-2.8362474043594763,38.9,ok,"{""hidden_size1"": 64, ""hidden_size2"": 256, ""activation"": ""relu""}"
herg,0.0,dnn_bnn_full,ecfp4,sns,0,-0.05122366707271264,50.8,ok,"{""hidden_size1"": 64, ""hidden_size2"": 32, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,mhggnn,sns,0,0.28881295632941484,20.1,ok,"{""hidden_size1"": 64, ""hidden_size2"": 64, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,DEFAULT,sns,0,-1.774112453473414,14.1,ok,{}
herg,0.0,dnn_bnn_full,pdv,sns,0,-0.049965446611227815,88.4,ok,"{""hidden_size1"": 512, ""hidden_size2"": 32, ""activation"": ""tanh""}"
herg,0.0,dnn_bnn_full,sns,sns,0,0.1200615085057406,54.0,ok,"{""hidden_size1"": 512, ""hidden_size2"": 128, ""activation"": ""tanh""}"
herg,0.0,mlp_bnn_full,DEFAULT,pdv,0,-2.3308810800414284,5.4,ok,{}
herg,0.0,mlp_bnn_full,chemberta,pdv,0,-1.0049282364455574,6.4,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.236, ""lr"": 0.0018177358034255457}"
herg,0.0,mlp_bnn_full,ecfp4,pdv,0,0.5137303760246996,26.0,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.414, ""lr"": 0.005151500958133726}"
herg,0.0,mlp_bnn_full,mhggnn,pdv,0,0.5452092973332539,56.7,ok,"{""hidden_size"": 256, ""num_hidden_layers"": 2, ""dropout_rate"": 0.359, ""lr"": 0.005079554575184939}"
herg,0.0,mlp_bnn_full,pdv,pdv,0,0.5304391957619577,22.5,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.169, ""lr"": 0.006017629069106814}"
herg,0.0,mlp_bnn_full,sns,pdv,0,-1.8245085911354106,8.1,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 3, ""dropout_rate"": 0.156, ""lr"": 0.0004695643024401197}"
herg,0.0,mlp_bnn_full,avalon,pdv,0,0.4942427262160902,31.0,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.051, ""lr"": 0.007098234307633582}"
herg,0.0,mlp_bnn_full,DEFAULT,chemberta,0,-0.4309416025916206,14.9,ok,{}
herg,0.0,mlp_bnn_full,chemberta,chemberta,0,-0.8142975593964432,7.5,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.236, ""lr"": 0.0018177358034255457}"
herg,0.0,mlp_bnn_full,ecfp4,chemberta,0,0.455132717708956,38.6,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.414, ""lr"": 0.005151500958133726}"
herg,0.0,mlp_bnn_full,mhggnn,chemberta,0,0.5183077253295211,69.5,ok,"{""hidden_size"": 256, ""num_hidden_layers"": 2, ""dropout_rate"": 0.359, ""lr"": 0.005079554575184939}"
herg,0.0,mlp_bnn_full,pdv,chemberta,0,0.41161548077273724,18.8,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.169, ""lr"": 0.006017629069106814}"
herg,0.0,mlp_bnn_full,sns,chemberta,0,-0.4189153924652673,11.5,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 3, ""dropout_rate"": 0.156, ""lr"": 0.0004695643024401197}"
herg,0.0,mlp_bnn_full,avalon,chemberta,0,0.47084134658446064,17.2,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.051, ""lr"": 0.007098234307633582}"
herg,0.0,mlp_bnn_full,DEFAULT,ecfp4,0,0.2495873627916224,10.7,ok,{}
herg,0.0,mlp_bnn_full,chemberta,ecfp4,0,0.5497700128353838,39.1,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.236, ""lr"": 0.0018177358034255457}"
herg,0.0,mlp_bnn_full,ecfp4,ecfp4,0,0.587219742490722,22.9,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.414, ""lr"": 0.005151500958133726}"
herg,0.0,mlp_bnn_full,mhggnn,ecfp4,0,0.5082443998602773,48.0,ok,"{""hidden_size"": 256, ""num_hidden_layers"": 2, ""dropout_rate"": 0.359, ""lr"": 0.005079554575184939}"
herg,0.0,mlp_bnn_full,pdv,ecfp4,0,0.5955293798274508,25.0,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.169, ""lr"": 0.006017629069106814}"
herg,0.0,mlp_bnn_full,sns,ecfp4,0,0.49723313113451006,28.2,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 3, ""dropout_rate"": 0.156, ""lr"": 0.0004695643024401197}"
herg,0.0,mlp_bnn_full,avalon,ecfp4,0,0.45859558433114267,26.1,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.051, ""lr"": 0.007098234307633582}"
herg,0.0,mlp_bnn_full,DEFAULT,mhggnn,0,-1.4279232291153945,19.0,ok,{}
herg,0.0,mlp_bnn_full,chemberta,mhggnn,0,0.13628629099048117,20.3,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.236, ""lr"": 0.0018177358034255457}"
herg,0.0,mlp_bnn_full,ecfp4,mhggnn,0,0.3358921860948567,18.0,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.414, ""lr"": 0.005151500958133726}"
herg,0.0,mlp_bnn_full,mhggnn,mhggnn,0,-0.5909976344809775,24.3,ok,"{""hidden_size"": 256, ""num_hidden_layers"": 2, ""dropout_rate"": 0.359, ""lr"": 0.005079554575184939}"
herg,0.0,mlp_bnn_full,pdv,mhggnn,0,0.5124454606252147,48.7,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.169, ""lr"": 0.006017629069106814}"
herg,0.0,mlp_bnn_full,sns,mhggnn,0,-0.87927226011998,34.7,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 3, ""dropout_rate"": 0.156, ""lr"": 0.0004695643024401197}"
herg,0.0,mlp_bnn_full,avalon,mhggnn,0,0.2841255182518613,20.4,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.051, ""lr"": 0.007098234307633582}"
