model,from_rep,applied_to,noise_seed,r2,seconds,status,detail
mlp_bnn_full_variational,pdv,pdv,0,0.8169152310610994,36.2,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 1, ""dropout_rate"": 0.412, ""lr"": 0.0006343509199762551}"
mlp_bnn_full_variational,chemberta,pdv,0,0.8300090846404038,86.2,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 4, ""dropout_rate"": 0.269, ""lr"": 0.00026760523091972835}"
mlp_bnn_full_variational,ecfp4,pdv,0,0.4771621713332973,40.3,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 1, ""dropout_rate"": 0.303, ""lr"": 0.002704202598944105}"
mlp_bnn_full_variational,avalon,pdv,0,0.848994958759852,47.2,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.136, ""lr"": 0.001181874895585407}"
mlp_bnn_full_variational,mhggnn,pdv,0,0.8729317871036723,27.5,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 1, ""dropout_rate"": 0.357, ""lr"": 0.001185606743480818}"
mlp_bnn_full_variational,sns,pdv,0,0.7082694581083737,35.7,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.169, ""lr"": 0.006017629069106814}"
mlp_bnn_full_variational,DEFAULT,pdv,0,0.7040742100582187,44.1,ok,{}
mlp_bnn_full_variational,pdv,chemberta,0,0.7869681336489297,40.2,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 1, ""dropout_rate"": 0.412, ""lr"": 0.0006343509199762551}"
mlp_bnn_full_variational,chemberta,chemberta,0,0.7934789702630831,101.7,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 4, ""dropout_rate"": 0.269, ""lr"": 0.00026760523091972835}"
mlp_bnn_full_variational,ecfp4,chemberta,0,0.161420261794886,45.4,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 1, ""dropout_rate"": 0.303, ""lr"": 0.002704202598944105}"
mlp_bnn_full_variational,avalon,chemberta,0,0.7536245667162702,57.8,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.136, ""lr"": 0.001181874895585407}"
mlp_bnn_full_variational,mhggnn,chemberta,0,0.816752207496059,48.8,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 1, ""dropout_rate"": 0.357, ""lr"": 0.001185606743480818}"
mlp_bnn_full_variational,sns,chemberta,0,0.6355887446541576,71.8,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.169, ""lr"": 0.006017629069106814}"
mlp_bnn_full_variational,DEFAULT,chemberta,0,0.7381874926265147,73.6,ok,{}
mlp_bnn_full_variational,pdv,ecfp4,0,0.5018993202488179,108.8,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 1, ""dropout_rate"": 0.412, ""lr"": 0.0006343509199762551}"
mlp_bnn_full_variational,chemberta,ecfp4,0,0.6194172034783237,174.3,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 4, ""dropout_rate"": 0.269, ""lr"": 0.00026760523091972835}"
mlp_bnn_full_variational,ecfp4,ecfp4,0,0.6547622233929998,137.2,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 1, ""dropout_rate"": 0.303, ""lr"": 0.002704202598944105}"
mlp_bnn_full_variational,avalon,ecfp4,0,0.5773040038035717,124.2,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.136, ""lr"": 0.001181874895585407}"
mlp_bnn_full_variational,mhggnn,ecfp4,0,0.5279536953088555,85.1,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 1, ""dropout_rate"": 0.357, ""lr"": 0.001185606743480818}"
mlp_bnn_full_variational,sns,ecfp4,0,0.5261073069999672,196.8,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.169, ""lr"": 0.006017629069106814}"
mlp_bnn_full_variational,DEFAULT,ecfp4,0,0.5850840965463288,161.2,ok,{}
mlp_bnn_full_variational,pdv,avalon,0,0.6543768452499877,171.1,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 1, ""dropout_rate"": 0.412, ""lr"": 0.0006343509199762551}"
mlp_bnn_full_variational,chemberta,avalon,0,0.8042529665254952,240.2,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 4, ""dropout_rate"": 0.269, ""lr"": 0.00026760523091972835}"
mlp_bnn_full_variational,ecfp4,avalon,0,0.6532774612995957,142.5,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 1, ""dropout_rate"": 0.303, ""lr"": 0.002704202598944105}"
mlp_bnn_full_variational,avalon,avalon,0,0.6747380076872218,97.3,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.136, ""lr"": 0.001181874895585407}"
mlp_bnn_full_variational,mhggnn,avalon,0,0.6184455938859368,87.7,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 1, ""dropout_rate"": 0.357, ""lr"": 0.001185606743480818}"
mlp_bnn_full_variational,sns,avalon,0,0.5843149810305914,107.5,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.169, ""lr"": 0.006017629069106814}"
mlp_bnn_full_variational,DEFAULT,avalon,0,0.7347186200348429,194.7,ok,{}
mlp_bnn_full_variational,pdv,mhggnn,0,0.8009405240206802,100.5,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 1, ""dropout_rate"": 0.412, ""lr"": 0.0006343509199762551}"
mlp_bnn_full_variational,chemberta,mhggnn,0,0.8430489296362973,160.5,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 4, ""dropout_rate"": 0.269, ""lr"": 0.00026760523091972835}"
mlp_bnn_full_variational,ecfp4,mhggnn,0,0.39226239915846006,107.9,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 1, ""dropout_rate"": 0.303, ""lr"": 0.002704202598944105}"
mlp_bnn_full_variational,avalon,mhggnn,0,0.772728057364356,68.5,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.136, ""lr"": 0.001181874895585407}"
mlp_bnn_full_variational,mhggnn,mhggnn,0,0.7848369586758254,61.0,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 1, ""dropout_rate"": 0.357, ""lr"": 0.001185606743480818}"
mlp_bnn_full_variational,sns,mhggnn,0,0.5752928771684174,63.9,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.169, ""lr"": 0.006017629069106814}"
mlp_bnn_full_variational,DEFAULT,mhggnn,0,0.7404875997993083,104.6,ok,{}
