sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function,spec_version,spec_hash,gp_fit_method,gp_collapsed,noise_type,level_units,delivered_dose,file_no
0.0,0,rf,ecfp4,500,0.5057126983165741,0.4007527880249514,0.6330503834806132,0.6641627358422457,0.8169007703646697,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,rf,continuous_pdv,500,0.3896321872711182,0.23218963524516795,0.4818605973154144,0.8054213615061137,0.9011589121961486,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,svm,ecfp4,500,0.5328472877931617,0.39875358255846727,0.6314693837063419,0.6658381020890088,0.8296205359258242,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,svm,continuous_pdv,500,0.4667162701332257,0.3217515241255178,0.5672314555148699,0.7303670621146774,0.8608837857011769,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,xgboost,ecfp4,500,0.50678736,0.39926308,0.63187265,0.6654111428364342,0.8271105,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,lgb,ecfp4,500,0.5853512097062746,0.5446401732715641,0.7379974073610043,0.5435827991531299,0.7580964944637799,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,ngboost,ecfp4,500,0.5147884338882005,0.38828401729666956,0.6231243995356541,0.6746117657028583,0.8222911479471573,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,ngboost,ecfp4,500,0.5147884338882005,0.38828401729666956,0.6231243995356541,0.6746117657028583,0.8222911479471573,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,dnn,ecfp4,500,0.81701416,1.0150896,1.0075166,0.1493385762805015,0.6115314,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,mlp,ecfp4,500,0.83189607,1.1028175,1.0501512,0.07582119529756637,0.58348286,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,bnn_full,ecfp4,500,1.0953175,2.0922358,1.4464563,-0.753327199583647,0.5623032,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,bnn_full_variational,ecfp4,500,0.7721497,0.8951615,0.94612974,0.24984030207112773,0.61782926,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,mlp_bnn_full_variational,ecfp4,500,0.7184183,0.97018516,0.98497975,0.18696921504897068,0.536048,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,gauche_rbf,ecfp4,500,0.49871759439079,0.37249623932218895,0.6103246999116035,0.6878421768703271,0.8311443099289181,default,mse,1.3.0,7b7c3372d7be,adam_fallback,0,,,,
0.0,0,gauche,ecfp4,500,0.5229124608574822,0.38447167922083536,0.6200578031287368,0.6778065661576286,0.8274621262044584,default,mse,1.3.0,7b7c3372d7be,adam_fallback,0,,,,
0.0,0,rf,ecfp4,10000,0.36599354564547537,0.2609733455385497,0.5108555035805621,0.8180675029730041,0.9051786395468989,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,rf,ecfp4,10000,0.36599354564547537,0.2609733455385497,0.5108555035805621,0.8180675029730041,0.9051786395468989,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,rf,continuous_pdv,10000,0.29418702848434447,0.15923224322081195,0.39903914998507595,0.8889943355840031,0.943488050477239,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,rf,mhggnn,10000,0.3210950688731671,0.1784412339680581,0.4224230509430778,0.8756031609228394,0.9365591313762287,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,rf,avalon,10000,0.2964601135430336,0.16903716811443925,0.4111412994512218,0.882159022707975,0.9394827974812018,default,mse,1.3.0,7b7c3372d7be,,,,,,
