model,rep,strategy,n_sigmas,n_rows,problems
bnn_full,ecfp4,legacy,10,10000,missing sigmas: [1.0]
bnn_full,ecfp4,outlier,10,10000,missing sigmas: [0.3]
bnn_full,ecfp4,quantile,10,10000,missing sigmas: [0.4]
bnn_full,sns,outlier,10,10000,missing sigmas: [1.0]
bnn_full,sns,quantile,10,10000,missing sigmas: [1.0]
bnn_last,ecfp4,quantile,10,10000,missing sigmas: [0.5]
bnn_last,ecfp4,threshold,9,9000,"missing sigmas: [0.5, 0.6]"
bnn_last,sns,quantile,10,10000,missing sigmas: [0.4]
bnn_last,sns,threshold,10,10000,missing sigmas: [0.6]
bnn_variational,ecfp4,legacy,10,10000,missing sigmas: [0.6]
bnn_variational,ecfp4,outlier,7,7000,"missing sigmas: [0.2, 0.6, 0.9, 1.0]"
bnn_variational,ecfp4,quantile,10,10000,missing sigmas: [0.5]
bnn_variational,pdv,outlier,10,10000,missing sigmas: [0.9]
bnn_variational,sns,legacy,10,10000,missing sigmas: [0.5]
bnn_variational,sns,outlier,9,9000,"missing sigmas: [0.2, 1.0]"
gauche,ecfp4,legacy,10,10000,missing sigmas: [0.7]
gauche,ecfp4,quantile,8,8000,"missing sigmas: [0.3, 0.5, 0.6]"
gauche,pdv,threshold,10,10000,missing sigmas: [1.0]
gauche,sns,legacy,9,9000,"missing sigmas: [0.3, 0.5]"
gauche,sns,outlier,8,8000,"missing sigmas: [0.2, 0.7, 1.0]"
gauche,sns,threshold,9,9000,"missing sigmas: [0.8, 1.0]"
mlp_bnn_full,ecfp4,legacy,10,10000,missing sigmas: [0.2]
mlp_bnn_full,ecfp4,outlier,10,10000,missing sigmas: [0.2]
mlp_bnn_full,ecfp4,quantile,10,10000,missing sigmas: [0.5]
mlp_bnn_full,ecfp4,threshold,10,10000,missing sigmas: [0.2]
mlp_bnn_full,sns,legacy,9,9000,"missing sigmas: [0.1, 0.2]"
mlp_bnn_full,sns,quantile,7,7000,"missing sigmas: [0.5, 0.6, 0.8, 1.0]"
mlp_bnn_full,sns,threshold,10,10000,missing sigmas: [0.6]
mlp_bnn_last,ecfp4,quantile,10,10000,missing sigmas: [0.9]
mlp_bnn_last,sns,legacy,10,10000,missing sigmas: [1.0]
mlp_bnn_last,sns,outlier,10,10000,missing sigmas: [0.0]
mlp_bnn_last,sns,quantile,10,10000,missing sigmas: [0.2]
mlp_bnn_last,sns,threshold,9,9000,"missing sigmas: [0.5, 1.0]"
mlp_bnn_variational,ecfp4,outlier,10,10000,missing sigmas: [0.4]
mlp_bnn_variational,ecfp4,quantile,9,9000,"missing sigmas: [0.0, 0.6]"
mlp_bnn_variational,ecfp4,threshold,10,10000,missing sigmas: [0.0]
mlp_bnn_variational,pdv,outlier,10,10000,missing sigmas: [0.4]
mlp_bnn_variational,sns,legacy,9,9000,"missing sigmas: [0.0, 0.9]"
mlp_bnn_variational,sns,outlier,9,9000,"missing sigmas: [0.7, 0.9]"
mlp_bnn_variational,sns,quantile,9,9000,"missing sigmas: [0.5, 0.6]"
mlp_bnn_variational,sns,threshold,10,10000,missing sigmas: [0.1]
ngboost,ecfp4,legacy,10,10000,missing sigmas: [1.0]
ngboost,ecfp4,quantile,10,10000,missing sigmas: [0.1]
ngboost,ecfp4,threshold,9,9000,"missing sigmas: [0.5, 0.8]"
ngboost,sns,legacy,10,10000,missing sigmas: [0.8]
ngboost,sns,quantile,9,9000,"missing sigmas: [0.6, 0.9]"
qrf,ecfp4,outlier,10,10000,missing sigmas: [0.1]
