split,record_index,canonical_smiles,y_clean_raw,epsilon_raw,noise_scale_raw,noise_pattern_raw,y_noisy_raw,y_written
train,0,COC1C(O)C1(C)OC,7.956609249e0,-4.719163179e-1,5.074523091e-1,1.268630743e0,7.484693050e0,4.251521230e-1
train,1,Cc1[nH]cnc1C1CN1,6.264060974e0,8.251671195e-1,5.074523091e-1,1.268630743e0,7.089228153e0,1.134263203e-1
train,2,C1C2C3CC4C1C2CC34,9.679089546e0,4.191287756e-1,5.074523091e-1,1.268630743e0,1.009821796e1,2.485267162e0
train,3,CC(C)C12CC=CC1N2,6.342973709e0,2.714575827e-1,5.074523091e-1,1.268630743e0,6.614431381e0,-2.608329654e-1
train,4,CC1(c2cnoc2)CC1,6.582434177e0,-2.237746269e-1,5.074523091e-1,1.268630743e0,6.358659744e0,-4.624453187e-1
train,5,C#CC1(COC)CC1,8.051848412e0,-2.960791588e-1,5.074523091e-1,1.268630743e0,7.755769253e0,6.388283372e-1
train,6,C#CCC1C2CC(O)C12,8.364779472e0,-4.353685677e-1,5.074523091e-1,1.268630743e0,7.929410934e0,7.757016420e-1
train,7,Cn1nccc1N1CC1,6.568828583e0,6.542544961e-1,5.074523091e-1,1.268630743e0,7.223083019e0,2.189376205e-1
train,8,CCC1CCOC1OC,9.208333015e0,-2.979875505e-1,5.074523091e-1,1.268630743e0,8.910345078e0,1.548924446e0
train,9,CC1C=CC(=O)OC1C,5.904870510e0,-6.849892735e-1,5.074523091e-1,1.268630743e0,5.219881058e0,-1.360089302e0
train,10,[NH-]C1OCC23COC12C3,7.004210949e0,-7.308377624e-1,5.074523091e-1,1.268630743e0,6.273373127e0,-5.296726227e-1
train,11,COC(C=O)C(F)(F)F,6.032763958e0,8.807313442e-2,5.074523091e-1,1.268630743e0,6.120837212e0,-6.499093175e-1
train,12,CC12OCC3[CH-]CC1C32,5.409623623e0,3.203143179e-1,5.074523091e-1,1.268630743e0,5.729938030e0,-9.580361843e-1
train,13,OCCC12CCC1O2,8.821931839e0,-5.214270353e-1,5.074523091e-1,1.268630743e0,8.300504684e0,1.068216920e0
train,14,CC#CC1CC1(O)C#N,6.925297737e0,-3.722406030e-1,5.074523091e-1,1.268630743e0,6.553057194e0,-3.092112541e-1
train,15,[NH-]C1N=CC=NC(=O)O1,4.680358410e0,-4.720751643e-1,5.074523091e-1,1.268630743e0,4.208283424e0,-2.157482624e0
train,16,C1=NC2CC(O1)C1CC21,7.314420223e0,7.373160869e-2,5.074523091e-1,1.268630743e0,7.388151646e0,3.490532041e-1
train,17,N#CC1CCC(=O)C1,6.046370029e0,2.775477469e-1,5.074523091e-1,1.268630743e0,6.323917866e0,-4.898306727e-1
train,18,CCOc1cnoc1,6.119840622e0,-1.284387112e-1,5.074523091e-1,1.268630743e0,5.991401672e0,-7.519370317e-1
train,19,C[NH2+]C(C)OC(C)(C)C,7.366122246e0,3.145543113e-2,5.074523091e-1,1.268630743e0,7.397577763e0,3.564833701e-1
train,20,CC(O)C1(C)CC1CO,8.732133865e0,7.534863800e-2,5.074523091e-1,1.268630743e0,8.807482719e0,1.467843056e0
train,21,CC1C2C(=O)C[NH+]12,5.929360867e0,-3.087841868e-1,5.074523091e-1,1.268630743e0,5.620576859e0,-1.044240236e0
train,22,OCC1C2C=CCC21,6.677673817e0,2.471051514e-1,5.074523091e-1,1.268630743e0,6.924778938e0,-1.620102115e-2
train,23,CC1CC2C3C1CC23C,4.688521862e0,3.581255078e-1,5.074523091e-1,1.268630743e0,5.046647549e0,-1.496640921e0
train,24,CC12OC3CCC1C32O,7.894023418e0,3.611348867e-1,5.074523091e-1,1.268630743e0,8.255158424e0,1.032472610e0
train,25,Nc1cc(OC=O)c[nH]1,5.752487183e0,-9.659568667e-1,5.074523091e-1,1.268630743e0,4.786530495e0,-1.701678634e0
train,26,CC1=CC(=O)OCCC1,5.970178127e0,-5.051108599e-1,5.074523091e-1,1.268630743e0,5.465067387e0,-1.166820884e0
train,27,CC12CC3(O)CC1OC32,8.381106377e0,3.018566966e-1,5.074523091e-1,1.268630743e0,8.682963371e0,1.369690537e0
train,28,C#CC1(C)CC1NC=O,6.985162735e0,4.845205247e-1,5.074523091e-1,1.268630743e0,7.469683170e0,4.133205712e-1
train,29,O=C1CC2C(CO)C12,6.209638119e0,-1.025176644e-1,5.074523091e-1,1.268630743e0,6.107120514e0,-6.607214808e-1
train,30,O1C2C3C2C2C4C1C4C32,7.815110207e0,-7.096815109e-1,5.074523091e-1,1.268630743e0,7.105428696e0,1.261964291e-1
train,31,CC12C3OC4C3C1(O)C42,8.351174355e0,-1.802184731e-1,5.074523091e-1,1.268630743e0,8.170955658e0,9.660996795e-1
train,32,CCCC1(C=O)CN1,6.079023361e0,-5.225983262e-1,5.074523091e-1,1.268630743e0,5.556425095e0,-1.094807982e0
train,33,COCC(C#N)NC=O,7.553880215e0,-8.980618119e-1,5.074523091e-1,1.268630743e0,6.655818462e0,-2.282095253e-1
train,34,CC(OC=O)C(O)CO,7.643678188e0,6.580136716e-2,5.074523091e-1,1.268630743e0,7.709479332e0,6.023402214e-1
train,35,CC1C2OCC3C2[NH+]13,8.596076965e0,-2.078225464e-1,5.074523091e-1,1.268630743e0,8.388254166e0,1.137385488e0
train,36,Cc1n[nH]c2occc12,6.147051811e0,1.145786270e-1,5.074523091e-1,1.268630743e0,6.261630535e0,-5.389287472e-1
train,37,C[NH2+]C1OC(CO)C1C,7.523947716e0,1.471629292e-1,5.074523091e-1,1.268630743e0,7.671110630e0,5.720960498e-1
train,38,CC12CC(C#N)=CC1N2,5.287172318e0,3.123196959e-1,5.074523091e-1,1.268630743e0,5.599492073e0,-1.060860395e0
train,39,COC(C(C)C)C1CO1,8.977036476e0,-6.037123799e-1,5.074523091e-1,1.268630743e0,8.373324394e0,1.125617146e0
train,40,CC1CC2OC([NH-])C12O,7.559322834e0,1.653172225e-1,5.074523091e-1,1.268630743e0,7.724639893e0,6.142905951e-1
train,41,CC12C3C(O)C1(O)C[NH+]32,7.804225445e0,1.297962368e-1,5.074523091e-1,1.268630743e0,7.934021473e0,7.793359160e-1
train,42,N#CC1COC2C(O)C12,7.643678188e0,9.421304464e-1,5.074523091e-1,1.268630743e0,8.585808754e0,1.293108225e0
train,43,O=C1CC2(CCCC2)O1,7.738917828e0,-6.686451435e-1,5.074523091e-1,1.268630743e0,7.070272446e0,9.848445654e-2
train,44,Cc1occc(=O)c1F,5.472209930e0,-1.526473522e0,5.074523091e-1,1.268630743e0,3.945736408e0,-2.364435673e0
train,45,CC1(C)C2C=CC(=O)C21,5.006895065e0,7.364622504e-2,5.074523091e-1,1.268630743e0,5.080541134e0,-1.469924212e0
