model,method,n_features,baseline_r2,nds,r2_sigma_0.0,r2_sigma_0.1,r2_sigma_0.2,r2_sigma_0.3,r2_sigma_0.4,r2_sigma_0.5,r2_sigma_0.6,r2_sigma_0.7,r2_sigma_0.8,r2_sigma_0.9,r2_sigma_1.0
rf,continuous_raw,200,0.8566743785424041,-8.16411513289292,0.8566743785424041,0.713073268705122,0.46453276482187733,0.06576403342248194,-0.6525988948831505,-1.3658928430587038,-2.44496181511054,-3.079644541930901,-4.517895793171752,-5.7359570489086495,-7.339061510747992
xgboost,continuous_raw,200,0.9024237390623965,-11.70999985940989,0.9024237390623965,0.7144078749834724,0.26031667828047345,-0.32658786983614263,-1.0697110032868893,-2.3844094972528715,-3.748033534749001,-5.417209457710944,-7.137630502276195,-8.830049373377424,-10.213328703174307
svm,continuous_raw,200,0.8360138190809564,-0.24695980918309396,0.8360138190809564,0.778748618083275,0.7355068864506378,0.6990782958086892,0.6718450029083646,0.648865807969687,0.6296943376486113,0.6158780939859154,0.6010461811402489,0.5856920192171933,0.5695341549383086
bnn_full,continuous_raw,200,0.8532838503848291,-0.5389083072775401,0.8532838503848291,0.6706687454409974,0.6411732214909535,0.5767618268387542,0.5585912766661913,0.5112331608058391,0.4062735212247499,0.12333721745855364,0.38919824166223593,0.27912265095045297,0.34394083270427545
vbll,continuous_raw,200,0.7565316111074906,-0.5669838352428278,0.7565316111074906,0.7098002962876242,0.653303241650724,0.5152154516300614,0.5414658174884595,0.2323008187233716,0.3976663801081737,0.2835046609690729,0.29704756416022593,0.2566880299143238,0.2068545969066612
gauche_rbf,continuous_raw,200,0.9014208156152718,-0.6877803521594297,0.9014208156152718,0.7667993870702886,-0.008024666010901349,-0.006984979499589317,-0.005954741214007964,-0.005038125670688176,-0.0041649298177237615,-0.0033549215207264727,-0.0027121821383353506,-0.0023462787131784957,-0.0013769023030412164
rf,binary_mean,200,0.8310741223205352,-12.051095093238878,0.8310741223205352,0.6856101752070973,0.2942661017361615,-0.2800093943340678,-1.3571923947321225,-2.1182631395378078,-3.4080124737163944,-5.1820022507581935,-6.8710511237362475,-8.65768228521162,-11.536549620820075
xgboost,binary_mean,200,0.8719913321456063,-10.103387208449623,0.8719913321456063,0.7262984204361107,0.4261519516747564,-0.11416730596812896,-0.5453658919308517,-1.624756749629892,-2.2919167252644708,-3.5957051799407322,-4.918977023442613,-7.210603762432498,-10.056936078822492
svm,binary_mean,200,0.8321837162266048,-0.2858917198996356,0.8321837162266048,0.7750297811139002,0.7255255397414719,0.6831266727750653,0.6533744109471284,0.6274223998395853,0.6028422009269487,0.5826635025282073,0.5643754969870606,0.547452925757176,0.5322651524882118
bnn_full,binary_mean,200,0.7862465083096988,-0.5837639767669761,0.7862465083096988,0.729911753664654,0.6058010249306603,0.5738608710799336,0.5550214310475318,0.47376937806240127,0.23207082854044392,0.3685969840478912,0.13247406814680485,0.29706607675192964,0.27893415033707847
vbll,binary_mean,200,0.7909268591840887,-0.3795103742496647,0.7909268591840887,0.7078752902395318,0.6234699919941431,0.5557242470799005,0.5086219080577499,0.48886979229496175,0.4580845089302278,0.42768379315276706,0.4259787924403986,0.39120291087798154,0.389160320452671
gauche_tanimoto,binary_mean,200,0.8754475661483292,-0.6750423865940075,0.8754475661483292,0.7559051850831617,0.6809616561756782,0.6211046888321256,0.568743116200114,0.5199869452550312,0.4732494527468002,0.43233766435132626,0.3875103782320206,0.33265101694109556,-0.00036604059565759073
gauche_rbf,binary_mean,200,0.8739173801487558,-1.0267736702361754,0.8739173801487558,0.7518139794003633,0.6803270131558057,0.6256362055179133,0.5775996600495091,-0.004983693497172537,-0.004277956939692018,-0.0036457088497692247,-0.004198150662349631,-0.00375196369557651,-0.0017285524582721923
