method,iteration,seed,sigma,r2
binary_gt0,0,42,0.0,0.7610489163515876
binary_gt0,0,42,0.2,0.38578920145910145
binary_gt0,0,42,0.25,0.20588982631579156
binary_gt0,0,42,0.3,-0.03907877462931508
binary_gt0,0,42,0.5,-1.3604611056829992
binary_gt0,1,43,0.0,0.7606455884180179
binary_gt0,1,43,0.2,0.34081751286665063
binary_gt0,1,43,0.25,0.12600885465613476
binary_gt0,1,43,0.3,-0.1313179133204223
binary_gt0,1,43,0.5,-1.5373342604211326
binary_gt0,2,44,0.0,0.7596759565173281
binary_gt0,2,44,0.2,0.2070357744624064
binary_gt0,2,44,0.25,-0.09270381948210038
binary_gt0,2,44,0.3,-0.43088392449383317
binary_gt0,2,44,0.5,-2.441516536743584
binary_gt0,3,45,0.0,0.7584288287239316
binary_gt0,3,45,0.2,0.3004747275694023
binary_gt0,3,45,0.25,0.058975996031219946
binary_gt0,3,45,0.3,-0.204502375252809
binary_gt0,3,45,0.5,-1.8438212814034807
binary_gt0,4,46,0.0,0.7621284955641345
binary_gt0,4,46,0.2,0.3265457408600002
binary_gt0,4,46,0.25,0.07680662470943189
binary_gt0,4,46,0.3,-0.18438887445652874
binary_gt0,4,46,0.5,-1.660122716507967
continuous_raw,0,42,0.0,0.7987608212350179
continuous_raw,0,42,0.2,0.31005732382246276
continuous_raw,0,42,0.25,0.04189685764988027
continuous_raw,0,42,0.3,-0.1843437001766588
continuous_raw,0,42,0.5,-1.8500586276171394
continuous_raw,1,43,0.0,0.7996159315033803
continuous_raw,1,43,0.2,0.3277641717967159
continuous_raw,1,43,0.25,0.061223348339227934
continuous_raw,1,43,0.3,-0.21045858221122038
continuous_raw,1,43,0.5,-1.796342207340913
continuous_raw,2,44,0.0,0.7998889201674063
continuous_raw,2,44,0.2,0.2580354411674355
continuous_raw,2,44,0.25,-0.02803154324260526
continuous_raw,2,44,0.3,-0.3392997966751925
continuous_raw,2,44,0.5,-2.2091648096097485
continuous_raw,3,45,0.0,0.8015655397214283
continuous_raw,3,45,0.2,0.12061436094044309
continuous_raw,3,45,0.25,-0.2336096046135523
continuous_raw,3,45,0.3,-0.591114410111115
continuous_raw,3,45,0.5,-2.83424876275533
continuous_raw,4,46,0.0,0.7965486478491366
continuous_raw,4,46,0.2,0.25262282721278584
continuous_raw,4,46,0.25,-0.004332691248703835
continuous_raw,4,46,0.3,-0.26320953070272135
continuous_raw,4,46,0.5,-2.0523764635709614
continuous_zscore,0,42,0.0,0.7993026853418708
continuous_zscore,0,42,0.2,0.31200673529177003
continuous_zscore,0,42,0.25,0.03084360417988119
continuous_zscore,0,42,0.3,-0.182586806194184
continuous_zscore,0,42,0.5,-1.8597050667134587
continuous_zscore,1,43,0.0,0.7997705565712464
continuous_zscore,1,43,0.2,0.32343535595010886
continuous_zscore,1,43,0.25,0.0682660328451149
continuous_zscore,1,43,0.3,-0.2194275757571751
continuous_zscore,1,43,0.5,-1.7925208853297283
continuous_zscore,2,44,0.0,0.7992798479640929
continuous_zscore,2,44,0.2,0.25981090089150516
continuous_zscore,2,44,0.25,-0.02308703588187755
continuous_zscore,2,44,0.3,-0.34371992266808826
continuous_zscore,2,44,0.5,-2.206742867204852
continuous_zscore,3,45,0.0,0.8021945471373744
continuous_zscore,3,45,0.2,0.12099510129399671
continuous_zscore,3,45,0.25,-0.2357719799731277
continuous_zscore,3,45,0.3,-0.591158742599664
continuous_zscore,3,45,0.5,-2.8512667579983093
continuous_zscore,4,46,0.0,0.795309119880216
continuous_zscore,4,46,0.2,0.255471815101984
continuous_zscore,4,46,0.25,0.0018602481278805483
continuous_zscore,4,46,0.3,-0.2556569953999053
continuous_zscore,4,46,0.5,-2.0594526580420296
continuous_minmax,0,42,0.0,0.799651614305202
continuous_minmax,0,42,0.2,0.30986777495179707
continuous_minmax,0,42,0.25,0.027548329837091656
continuous_minmax,0,42,0.3,-0.18217210723810928
continuous_minmax,0,42,0.5,-1.866525947316088
continuous_minmax,1,43,0.0,0.7995768281612575
continuous_minmax,1,43,0.2,0.32309049115054145
continuous_minmax,1,43,0.25,0.06837093574304076
continuous_minmax,1,43,0.3,-0.23039036953108716
continuous_minmax,1,43,0.5,-1.801847367701472
continuous_minmax,2,44,0.0,0.7996959440882696
continuous_minmax,2,44,0.2,0.2583296497014821
continuous_minmax,2,44,0.25,-0.027156892091125595
continuous_minmax,2,44,0.3,-0.34092582361081236
continuous_minmax,2,44,0.5,-2.2093552866135577
continuous_minmax,3,45,0.0,0.802257656676497
continuous_minmax,3,45,0.2,0.11864693020422201
continuous_minmax,3,45,0.25,-0.2199981040258403
continuous_minmax,3,45,0.3,-0.5841814949024309
continuous_minmax,3,45,0.5,-2.844931685188574
continuous_minmax,4,46,0.0,0.7955695824390543
continuous_minmax,4,46,0.2,0.25757553574431147
continuous_minmax,4,46,0.25,-0.0008097467320504759
continuous_minmax,4,46,0.3,-0.2632575146238125
continuous_minmax,4,46,0.5,-2.0502679928201952
binary_mean,0,42,0.0,0.7802514439163779
binary_mean,0,42,0.2,0.41576015706908176
binary_mean,0,42,0.25,0.2255585361992899
binary_mean,0,42,0.3,0.017172894804184602
binary_mean,0,42,0.5,-1.2053886419047402
binary_mean,1,43,0.0,0.7789416326665575
binary_mean,1,43,0.2,0.3834976212297968
binary_mean,1,43,0.25,0.18468047439044388
binary_mean,1,43,0.3,-0.03669340017690015
binary_mean,1,43,0.5,-1.4077808696159644
binary_mean,2,44,0.0,0.7763950143483822
binary_mean,2,44,0.2,0.3368548152738172
binary_mean,2,44,0.25,0.09782389050644014
binary_mean,2,44,0.3,-0.19991501982717907
binary_mean,2,44,0.5,-1.8406862303714773
binary_mean,3,45,0.0,0.7769729366836156
binary_mean,3,45,0.2,0.2267472966547054
binary_mean,3,45,0.25,-0.03722530578372485
binary_mean,3,45,0.3,-0.3431173195439967
binary_mean,3,45,0.5,-2.0426260198402018
binary_mean,4,46,0.0,0.7776610917610959
binary_mean,4,46,0.2,0.3192721617797111
binary_mean,4,46,0.25,0.06392733346935553
binary_mean,4,46,0.3,-0.21277168210247566
binary_mean,4,46,0.5,-1.7982276172895841
binary_median,0,42,0.0,0.7713053292022454
binary_median,0,42,0.2,0.3947654577733938
